Income,Gun Index,phone1
363700,0.6469501623953353,773-494-4195
267400,0.1980677349721297,603-315-6839
268100,0.8257678651176981,305-968-9487
68400,0.7502420174125355,201-588-7810
424600,0.45179318164870974,760-938-6069
337200,0.8859372900696151,631-335-3414
584200,0.0032335480661400684,717-809-3119
575300,0.31031660620155266,801-293-9853
566900,0.8865325498745666,602-919-4211
132600,0.036830212940600404,785-629-8542
294400,0.8069107876939504,718-478-8504
541200,0.48421664957371247,201-709-6245
322400,0.41205157945526083,504-621-8927
418700,0.12076054940420611,407-312-1691
515600,0.9585294414591579,415-306-7897
336700,0.12626090739046414,913-388-2079
592900,0.9299219447001653,740-343-8575
293300,0.1303169403643386,408-703-8505
399700,0.0753929978986213,410-473-1708
298400,0.8984979868387128,201-238-5688
49900,0.3128041778281384,817-765-5781
366900,0.9034708939327666,585-866-8313
548500,0.013673130013457602,414-214-8697
229600,0.5275627906123586,330-537-5358
41100,0.23601061977835647,480-293-2882
83800,0.5265316248307188,254-463-4368
148000,0.1881028170196225,631-443-4710
94500,0.21251132962322317,732-941-2621
494800,0.46716148582490813,914-855-2115
388200,0.17231966695392698,715-662-6764
38000,0.4285864555576836,336-822-7652
473800,0.43534911167272283,401-948-4982
539400,0.7286349078347536,513-570-1893
139400,0.5536313432489569,650-933-5072
282400,0.9492726272366927,773-225-9985
336400,0.13772371998109179,619-603-5125
229800,0.9754423721993621,317-234-1135
155600,0.32912801583687434,419-693-1334
62900,0.2694748502477249,847-222-1734
552700,0.02331573829800282,215-907-9111
107100,0.687198275567207,909-639-9887
93800,0.7362993162678908,707-300-1771
490200,0.7690507796811927,615-406-7854
296500,0.536581169642719,760-291-5497
146400,0.18124650051576963,212-674-9610
160300,0.06810265709601493,775-501-8109
250500,0.15947100897610433,617-418-5043
320400,0.8406709084278234,313-533-4884
300500,0.6766569333756552,201-693-3967
539000,0.945788694513952,215-325-3042
500200,0.23145440107978177,703-235-3937
99600,0.8396645663132261,515-370-7348
598700,0.4650810166031636,608-336-7444
545200,0.4202542794063281,512-486-3817
335700,0.5524436590205127,952-334-9408
204100,0.6270599892693929,814-393-5571
344200,0.7059176152987107,919-533-3762
452600,0.7079132779767113,414-661-9598
104600,0.5856451613445153,317-825-4724
407900,0.24545204989361757,530-986-9272
140200,0.7259574336888888,201-825-2514
331600,0.7512560932476893,973-936-5095
548600,0.4928254994941289,407-413-4842
375700,0.4628884537274476,508-456-4907
130400,0.1725961483173224,352-242-2570
492900,0.5412294797621002,732-658-3154
157300,0.14387093229693282,408-752-3500
537100,0.006650623496957775,973-649-2922
207700,0.4272951465905307,650-473-1262
300400,0.5004998960701011,214-428-2285
377000,0.3157920909426126,323-453-2780
578800,0.41635788747585867,703-322-4041
530200,0.050820444155230016,803-925-5213
118100,0.42960913364677333,310-820-2117
168100,0.909989149318576,858-617-7834
439100,0.854389570037111,610-814-5533
571600,0.3296698753244528,973-354-2040
178300,0.4024032915290101,505-977-3911
457600,0.36280052286590836,847-519-5906
388100,0.7187206844562162,310-510-9713
305300,0.08260066108880149,321-518-5938
592200,0.8151344066545352,813-797-4816
488000,0.11227537391416287,480-726-1280
47500,0.9737707022996938,510-503-7169
162400,0.027686643925420418,856-636-8749
382200,0.9023358302108923,718-228-5894
597000,0.005690947187771078,908-722-7128
218100,0.26586775775182303,504-463-4384
69200,0.695774644155175,607-407-3716
163000,0.29940826497948747,936-751-7961
264700,0.8461318451060837,617-399-5124
167300,0.9205873379082705,310-579-2907
545600,0.6332030809890141,410-739-9277
430300,0.4321543465402139,410-224-9462
549400,0.09513488537227399,931-313-9635
156300,0.4646710044340525,850-430-1663
413900,0.3010892381179241,541-548-8197
518200,0.07960546177484351,650-803-1936
379800,0.8759517000380861,856-487-5412
195600,0.37963129280022534,410-669-1642
425700,0.12740676561099962,401-458-2547
549900,0.24626124589313758,410-757-1035
167900,0.02253893005359564,207-458-9196
289900,0.19364889720708245,973-245-2133
105900,0.7783906610759297,518-497-2940
521200,0.03726682399739922,719-853-3600
61000,0.4261959659559761,626-572-1096
137000,0.2592817629071248,814-460-2655
261500,0.3367641066592717,785-347-1805
530500,0.9313683558949325,401-893-4882
547000,0.5341835437926191,770-679-4752
55800,0.06913818125048277,714-771-3880
218900,0.28089846734570334,806-703-1435
590100,0.28952955075521825,949-867-4077
558700,0.21859207905535571,516-509-2347
560400,0.2807696371732741,985-890-7262
364600,0.37082404585334905,410-914-9018
153400,0.3125729269101408,208-709-1235
461800,0.24294681208412594,907-797-9628
424800,0.17487599223548433,509-755-5393
380000,0.8984819658103558,419-939-3613
363400,0.9542618040167251,907-741-1044
531100,0.8528990110463115,314-787-1588
567900,0.38101417921975655,602-954-5141
194400,0.9742564197734748,907-231-4722
138800,0.20072612510906052,419-975-3182
339100,0.404671209329477,313-288-7937
395700,0.8060257882450256,718-232-2337
