Age,Address,User agent,Mac vendor,Discovered when
8,9 Tower Ave,"Mozilla/5.0 (Linux; Android 9; Note_7P Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
6,2664 Lewis Rd,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",Intel Corporate,9 minutes ago
6,3 Fort Worth Ave,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Samsung Electronics Co.,Ltd",about 1 hour ago
9,4441 Point Term Mkt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Samsung Electronics Co.,Ltd",about 1 hour ago
9,17 Us Highway 111,"server-bag [Mac OS X,10.14.6,18G8012,MacBook10,1]",Intel Corporate,38 minutes ago
10,3196 S Rider Trl,GoogleSoftwareUpdate/1.3.16.180 CFNetwork/978.6 Darwin/18.7.0 (x86_64),Intel Corporate,about 1 hour ago
9,64 Lakeview Ave,"Mozilla/5.0 (X11; CrOS x86_64 13505.63.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36","Apple, Inc.",about 1 hour ago
6,7061 N 2nd St,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",Unknown,about 1 hour ago
6,99 5th Ave #33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,about 1 hour ago
10,1950 5th Ave,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",Intel Corporate,9 minutes ago
8,40 Cambridge Ave,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",Intel Corporate,about 1 hour ago
10,77132 Coon Rapids Blvd Nw,Facebook,"Huawei Device Co., Ltd.",about 1 hour ago
11,83 County Road 437 #8581,GoogleSoftwareUpdate/1.3.16.180 CFNetwork/1240.0.4 Darwin/20.6.0,"Apple, Inc.",7 minutes ago
8,5 W 7th St,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Apple, Inc.",about 1 hour ago
6,72 Beechwood Ter,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G935F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",Intel Corporate,40 minutes ago
12,9648 S Main,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",Intel Corporate,about 1 hour ago
11,8429 Miller Rd,"Mozilla/5.0 (Linux; Android 10; MAR-LX1A Build/HUAWEIMAR-L01A; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.82 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
12,20932 Hedley St,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","Apple, Inc.",about 1 hour ago
5,36 Lancaster Dr Se,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",Intel Corporate,about 1 hour ago
